crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
LINK_127869,126.980685,37.55530372,__1ê°,__,4,104,40,0.294659686,0,21.743,1,0,0,0,0,0,0,5.43575,15.07920848,LINK_127869,127869,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_230879,126.9784332,37.5587533,¨ì°½,__,3,104,50,0.294659686,0,26.539,1,0,0,0,0,0,0,6.63475,15.07783686,LINK_230879,230879,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10273,127.0093969,37.55678419,__,ì²µ¬,4,104,50,0.247846802,0,41.752,1,0,0,0,0,2,0,10.438,14.94644664,NODE_10273,10273,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_8452,127.0090416,37.55665524,__,ì²µ¬,4,104,50,0.247846802,0,41.752,1,0,0,0,0,2,0,10.438,14.94644664,NODE_8452,8452,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[2],TRUE,TRUE,,,,,NODE_8452,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
LINK_22103,126.9800989,37.55955457,__1ê°,__,3,104,50,0.294659686,0,30.092,1,0,0,0,0,0,0,7.523,14.9225682,LINK_22103,22103,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5938,126.976897,37.56684067,__ë¡1ê°,ëª__,4,104,50,0.235762762,0,41.752,1,0,0,10,0,3,0,10.438,14.89530539,NODE_5938,5938,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_120139,127.0114775,37.55378063,__,ì²µ¬,4,104,50,0.247846802,0,32.553,1,0,0,0,0,0,0,8.13825,14.88570693,LINK_120139,120139,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[11],TRUE,TRUE,,,,,LINK_120139,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_6127,126.9800356,37.55968043,__1ê°,__,2,104,50,0.294659686,0,20.876,1,0,0,0,0,3,0,5.219,14.85385666,NODE_6127,6127,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_6155,126.9799377,37.55963725,__1ê°,__,2,104,50,0.294659686,0,20.876,1,0,0,0,0,3,0,5.219,14.85385666,NODE_6155,6155,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_148203,126.9808587,37.56171393,¨ëë¬¸ë_3ê°,__,3,104,50,0.294659686,0,32.738,1,0,0,1,0,0,0,8.1845,14.80797578,LINK_148203,148203,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
