crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
NODE_8066,127.0098725439075,37.56870538430257,을지로6가,광희동,2.0,104,30.0,0.18015591778880227,0,20.876,0,0,0,13,0.0,3.0,0.0,5.218999999999998
NODE_8068,127.00940094891345,37.568096674088906,을지로6가,광희동,4.0,104,50.0,0.18015591778880227,0,41.752,1,0,0,1,0.0,2.0,0.0,10.437999999999995
NODE_8069,127.0090157073556,37.568266055287744,을지로6가,광희동,4.0,104,50.0,0.18015591778880227,0,41.752,1,0,0,5,0.0,2.0,0.0,10.437999999999995
NODE_10212,127.02413145527584,37.5635976208184,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,0,1,11,0.0,2.0,0.0,5.218999999999998
NODE_10250,127.01588134499846,37.56783623214405,흥인동,신당동,2.0,104,50.0,0.1998197792295562,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_14609,126.96507321770069,37.55493168127287,만리동2가,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,0,0,3,0.0,2.0,0.0,2.609499999999999
NODE_14611,126.9648691609848,37.5548492335067,만리동2가,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,0,0,3,0.0,2.0,0.0,2.609499999999999
NODE_14613,126.96504445690562,37.5549637122392,만리동2가,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,0,0,3,0.0,2.0,0.0,2.609499999999999
NODE_14614,126.96480588040812,37.55493389042423,만리동2가,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,0,0,3,0.0,2.0,0.0,2.609499999999999
NODE_14615,126.96481739380285,37.55490185437786,만리동2가,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,0,0,3,0.0,2.0,0.0,2.609499999999999
NODE_14423,126.96613519108409,37.55851697824047,중림동,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,1,1,8,1.0,,0.0,2.609499999999999
NODE_15554,127.00999575907089,37.56547058707112,을지로7가,광희동,3.0,104,50.0,0.18015591778880227,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_14616,126.96887311665672,37.55565363237035,만리동1가,중림동,3.0,104,50.0,0.1901991313611407,0,31.314,1,1,5,25,0.4,2.0,0.0,7.828499999999998
NODE_15405,126.97930916593143,37.566868583552754,을지로1가,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,0,9,9,0.3333333333333333,3.0,0.0,5.218999999999998
NODE_15406,126.97928454020364,37.567019735819215,무교동,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,0,9,9,0.3333333333333333,3.0,0.0,5.218999999999998
NODE_15407,126.9793046813667,37.56696252611416,무교동,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,0,9,9,0.3333333333333333,3.0,0.0,5.218999999999998
NODE_15409,126.99350950477242,37.5612421987582,필동1가,필동,3.0,104,50.0,0.18382769695824674,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_15410,126.98745460598576,37.56688556783343,장교동,명동,1.0,104,30.0,0.2357627618766598,0,10.438,0,0,0,23,0.0,3.0,0.0,2.609499999999999
NODE_15411,126.98580977435756,37.56623281004353,을지로2가,명동,1.0,104,30.0,0.2357627618766598,0,10.438,1,0,0,0,0.0,3.0,0.0,2.609499999999999
NODE_15413,126.97891551868676,37.56604006615432,을지로1가,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,0,9,11,0.3333333333333333,3.0,0.0,5.218999999999998
NODE_15414,126.97928596885549,37.5670517754826,무교동,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,0,9,9,0.3333333333333333,3.0,0.0,5.218999999999998
NODE_20512,126.99244153445399,37.560969799931875,필동1가,필동,3.0,104,50.0,0.18382769695824674,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998
NODE_20513,126.9924458231091,37.561203230452506,필동1가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_20516,126.99066917077558,37.56129006761727,충무로3가,필동,1.0,104,30.0,0.18382769695824674,0,10.438,0,0,0,0,0.0,3.0,0.0,2.609499999999999
NODE_20517,126.9905398072887,37.56126030641002,충무로3가,필동,1.0,104,30.0,0.18382769695824674,0,10.438,0,0,0,0,0.0,3.0,0.0,2.609499999999999
NODE_20545,126.99291729453147,37.561200971145276,필동1가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_31145,126.97922582543677,37.56904369379499,무교동,명동,2.0,104,30.0,0.2357627618766598,0,20.876,1,2,4,61,0.25,4.0,1.0,5.218999999999998
NODE_31146,126.97935760136774,37.5690461007936,무교동,명동,2.0,104,50.0,0.2357627618766598,0,20.876,1,2,4,61,0.25,4.0,0.0,5.218999999999998
NODE_21865,126.98872866067542,37.56129905243789,충무로2가,명동,1.0,104,50.0,0.2357627618766598,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_23068,126.98957458458553,37.566348180722535,을지로2가,명동,3.0,104,50.0,0.2357627618766598,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_24599,127.00475042024215,37.56669184534337,을지로6가,광희동,3.0,104,50.0,0.18015591778880227,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_24600,127.01252615278283,37.567987678733566,신당동,청구동,1.0,104,30.0,0.2478468022723108,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_24601,127.01237664002689,37.56793734686115,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_24602,127.01263248957765,37.567742794780855,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_24603,127.01263848630381,37.567826488573466,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_22045,126.99296010460148,37.564519915986146,초동,을지로동,3.0,104,50.0,0.15585960737656157,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_21867,126.98930936777228,37.56135631974088,충무로2가,명동,2.0,104,50.0,0.2357627618766598,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_21869,126.98024816582196,37.55973979809862,회현동1가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998
NODE_21874,126.97564813040222,37.55704553737928,남대문로5가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,0,0,0,0,0.0,2.0,0.0,7.828499999999998
NODE_20727,126.99834063084737,37.56209541565467,충무로5가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_20728,126.99881497690109,37.56245128799641,충무로5가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_20729,126.99867411318236,37.56216750861053,충무로5가,필동,1.0,104,30.0,0.18382769695824674,0,10.438,1,0,0,0,0.0,4.0,0.0,2.609499999999999
NODE_20732,126.99827450366028,37.56233113344013,충무로5가,필동,3.0,104,50.0,0.18382769695824674,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_20733,126.99831618142262,37.56233955531872,충무로5가,필동,3.0,104,50.0,0.18382769695824674,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_20735,126.99874310524478,37.56244213312795,충무로5가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_20739,127.01022006513787,37.564556895201086,신당동,청구동,1.0,104,30.0,0.2478468022723108,0,10.438,0,0,0,0,0.0,3.0,0.0,2.609499999999999
NODE_22106,126.99271573101822,37.56454736352745,초동,을지로동,3.0,104,50.0,0.15585960737656157,0,31.314,1,0,0,0,0.0,4.0,1.0,7.828499999999998
NODE_23039,126.97335792896591,37.554385788992654,봉래동2가,회현동,4.0,104,50.0,0.29465968586387437,0,41.752,0,0,4,29,0.75,4.0,0.0,10.437999999999995
NODE_23040,126.97333207568765,37.554426925117916,봉래동2가,회현동,,,,0.29465968586387437,0,,0,0,2,29,0.5,4.0,,
NODE_23041,126.97340973281919,37.554303361775474,남대문로5가,회현동,4.0,104,50.0,0.29465968586387437,0,41.752,0,0,5,34,0.8,4.0,0.0,10.437999999999995
NODE_23043,126.97105826574376,37.559459425488384,순화동,소공동,3.0,104,50.0,0.09772727272727273,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
NODE_23046,126.97388063041478,37.55994012442326,봉래동1가,소공동,1.0,104,30.0,0.09772727272727273,0,10.438,1,0,0,0,0.0,3.0,0.0,2.609499999999999
NODE_23050,126.98960911886465,37.56610331107596,을지로2가,명동,3.0,104,50.0,0.2357627618766598,0,31.314,1,0,0,0,0.0,4.0,0.0,7.828499999999998
