crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
157626,126.97673949806274,37.57001327566953,세종로,청운효자동,1.0,104,40.0,0.20798109262794293,1,13.011,1,22,50,100,0.56,4.0,0.0,3.252749999999999
157627,126.97726873121093,37.57002279223688,세종로,청운효자동,4.0,103,50.0,0.20798109262794293,0,42.268,1,26,55,107,0.5454545454545454,4.0,0.0,10.567
157628,126.97734560919262,37.570003980054736,세종로,청운효자동,4.0,103,50.0,0.20798109262794293,0,42.268,1,23,54,107,0.5370370370370371,4.0,0.0,10.567
157629,126.97733080038833,37.57008869852982,세종로,청운효자동,2.0,103,50.0,0.20798109262794293,0,21.134,1,27,53,109,0.5283018867924528,4.0,0.0,5.2835
157631,126.97744615148693,37.56994751842621,세종로,청운효자동,4.0,103,50.0,0.20798109262794293,0,42.268,1,19,52,104,0.5192307692307693,3.0,0.0,10.567
195179,127.01248914183903,37.57002641024621,창신동,창신3동,2.0,104,30.0,0.2333962858042178,1,21.134,0,20,27,53,0.37037037037037035,2.0,0.0,5.2835
157633,126.97912546846247,37.57010903314457,종로1가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,21,35,112,0.6571428571428571,4.0,0.0,5.2835
157634,126.97924079857037,37.570031392272796,종로1가,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,21,35,111,0.6571428571428571,4.0,1.0,5.2835
195180,127.01565180055535,37.5699253380605,창신동,창신3동,2.0,104,30.0,0.2333962858042178,0,21.134,1,7,18,48,0.16666666666666666,4.0,0.0,5.2835
193404,126.99947786039674,37.57091127502298,종로4가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,4,21.134,1,17,43,89,0.5581395348837209,2.0,0.0,5.2835
195182,127.01565759255384,37.57012443925756,창신동,창신3동,2.0,104,40.0,0.2333962858042178,0,21.134,1,9,21,54,0.19047619047619047,2.0,0.0,5.2835
99,126.99324513889466,37.57254090851123,봉익동,종로1·2·3·4가동,1.0,104,30.0,0.2035585258750063,0,10.567,0,2,6,69,0.3333333333333333,,0.0,2.64175
130,126.97076778784846,37.58152579911299,옥인동,청운효자동,1.0,104,30.0,0.20798109262794293,1,29.169,1,15,20,35,0.35,4.0,0.0,7.292249999999999
132,126.97077816936478,37.58144461057936,통인동,청운효자동,1.0,104,30.0,0.20798109262794293,0,10.567,1,16,19,32,0.3684210526315789,4.0,0.0,2.64175
133,126.9932194900848,37.57267232656126,봉익동,종로1·2·3·4가동,1.0,104,30.0,0.2035585258750063,0,10.567,0,2,5,64,0.4,,1.0,2.64175
195183,127.0160974980599,37.57014726537718,창신동,창신3동,1.0,104,30.0,0.2333962858042178,1,10.567,1,9,19,51,0.15789473684210525,2.0,0.0,2.64175
14338,126.97002041079675,37.585150087306296,청운동,청운효자동,1.0,104,40.0,0.20798109262794293,0,11.941,1,3,9,30,0.5555555555555556,3.0,0.0,2.985249999999999
157635,126.97937680338978,37.570031416109664,종로1가,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,22,36,107,0.6666666666666666,4.0,0.0,5.2835
11,126.97602551572245,37.57548446128427,세종로,청운효자동,3.0,103,40.0,0.20798109262794293,0,31.701,1,7,18,45,0.3888888888888889,3.0,0.0,7.925249999999998
39,126.99834632757549,37.589742152282724,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,0,4,15,25,0.4,2.0,0.0,2.64175
157636,126.97952017770578,37.57011204398879,종로1가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,1,21.134,1,24,37,105,0.6756756756756757,4.0,0.0,5.2835
159697,127.015820989547,37.57461565254021,숭인동,숭인2동,2.0,104,30.0,0.16723489815543316,1,21.134,1,25,41,129,0.5365853658536586,2.0,0.0,5.2835
159703,127.0157876417177,37.57328259013848,숭인동,숭인2동,2.0,104,30.0,0.16723489815543316,0,21.134,1,33,68,191,0.5294117647058824,4.0,0.0,5.2835
159704,127.01550298672223,37.573275762281924,창신동,창신3동,2.0,104,40.0,0.2333962858042178,1,21.134,1,38,70,186,0.5428571428571428,4.0,0.0,5.2835
