source_crosswalk_id,canonical_crosswalk_id,registry_crosswalk_id,id_mapping_method,id_mapping_confidence,crossing_edge,tls_id,from_edge,to_edge,match_distance_m,registry_status,implementation_status,runnable_for_signal_extension,crossing_lon,crossing_lat,original_csv_lon,original_csv_lat
NODE_8382,8382,8382,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,544.4312635693957,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0106468,37.55448672
NODE_8431,8431,8431,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,513.621827127751,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0103896,37.55483574
NODE_10273,10273,10273,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,365.0034429586413,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0093969,37.55678419
LINK_261783,LINK_261783,,unmatched,none,,,,,,,,,,,,
LINK_168987,LINK_168987,,unmatched,none,,,,,,,,,,,,
LINK_148587,LINK_148587,,unmatched,none,,,,,,,,,,,,
LINK_190747,LINK_190747,,unmatched,none,,,,,,,,,,,,
LINK_19944,LINK_19944,,unmatched,none,,,,,,,,,,,,
LINK_122032,LINK_122032,,unmatched,none,,,,,,,,,,,,
NODE_8086,8086,8086,exact_strip_NODE,high,:8209566040_c0,8209566040,1283637490#2,770890589#3,406.44686917540463,patched_unsignalized,ready_for_simulation,True,127.00910465279112,37.56807545875095,127.0108438,37.56466037
NODE_9103,9103,9103,exact_strip_NODE,high,:8111813384_c0,GS_8111813384,899499301#0,-899499301#1,334.7193893918095,patched_unsignalized,ready_for_simulation,True,127.02355303262917,37.566207447439425,127.0197779,37.56556657
NODE_9115,9115,9115,exact_strip_NODE,high,:8111813384_c0,GS_8111813384,899499301#0,-899499301#1,350.37122382301055,patched_unsignalized,ready_for_simulation,True,127.02355303262917,37.566207447439425,127.0195968,37.5655666
NODE_126178,126178,126178,exact_strip_NODE,high,:8453967389_c2,GS_8453967389,-910455717,911522751#3,404.27985391343617,patched_unsignalized,ready_for_simulation,True,127.01476978193293,37.56803314495191,127.0124969,37.56481349
NODE_9494,9494,9494,exact_strip_NODE,high,:8111813384_c0,GS_8111813384,899499301#0,-899499301#1,164.08886249566558,patched_unsignalized,ready_for_simulation,True,127.02355303262917,37.566207447439425,127.0219406,37.5653791
NODE_10008,10008,10008,exact_strip_NODE,high,:8453967389_c1,GS_8453967389,911522751#1,910455717,333.99286337884934,patched_unsignalized,ready_for_simulation,True,127.01487623664644,37.56803209689397,127.0164847,37.56525141
NODE_8668,8668,8668,exact_strip_NODE,high,:8453967389_c2,GS_8453967389,-910455717,911522751#3,333.8296536487867,patched_unsignalized,ready_for_simulation,True,127.01476978193293,37.56803314495191,127.0141529,37.56500783
NODE_8669,8669,8669,exact_strip_NODE,high,:8453967389_c2,GS_8453967389,-910455717,911522751#3,309.49064002703136,patched_unsignalized,ready_for_simulation,True,127.01476978193293,37.56803314495191,127.0141098,37.56523669
NODE_10007,10007,10007,exact_strip_NODE,high,:8453967389_c1,GS_8453967389,911522751#1,910455717,337.15350777813495,patched_unsignalized,ready_for_simulation,True,127.01487623664644,37.56803209689397,127.0164238,37.56519794
NODE_8083,8083,8083,exact_strip_NODE,high,:8209566040_c0,8209566040,1283637490#2,770890589#3,354.1839566824362,patched_unsignalized,ready_for_simulation,True,127.00910465279112,37.56807545875095,127.0108783,37.56518673
LINK_214213,LINK_214213,,unmatched,none,,,,,,,,,,,,
LINK_178464,LINK_178464,,unmatched,none,,,,,,,,,,,,
LINK_18211,LINK_18211,,unmatched,none,,,,,,,,,,,,
LINK_251889,LINK_251889,,unmatched,none,,,,,,,,,,,,
LINK_127869,LINK_127869,,unmatched,none,,,,,,,,,,,,
LINK_216688,LINK_216688,,unmatched,none,,,,,,,,,,,,
LINK_50898,LINK_50898,,unmatched,none,,,,,,,,,,,,
NODE_8024,8024,8024,exact_strip_NODE,high,,,,,,route_patch_required,route_patch_required,False,,,,
NODE_8022,8022,8022,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,10.714708650187172,A,ready_for_simulation,True,127.00670566185693,37.547788054739314,,
NODE_8909,8909,8909,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,93.20792075703712,recovered,auto_recovered_distance_rematch,True,127.01230716743837,37.55924673876201,,
NODE_8912,8912,8912,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,71.51499007917957,recovered,auto_recovered_distance_rematch,True,127.01230716743837,37.55924673876201,,
NODE_8423,8423,8423,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,539.9445172814413,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0103967,37.55458515
NODE_10279,10279,10279,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,141.73338443626588,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.013567,37.56017681
NODE_8021,8021,8021,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,5.393753246094854,A,ready_for_simulation,True,127.00670566185693,37.547788054739314,,
NODE_8026,8026,8026,exact_strip_NODE,high,,,,,,route_patch_required,route_patch_required,False,,,,
NODE_8378,8378,8378,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,555.3198024734718,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0106439,37.55438602
NODE_126003,126003,126003,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,337.0295707581699,patched_unsignalized,ready_for_simulation,True,127.01227232844946,37.55923713983198,127.0116144,37.55623164
