crosswalk_id,sumo_crosswalk_alive_status,is_alive_in_sumo_network,phase6_ready_confirmed,sumo_alive_source,in_ready_candidates,in_red_only_phase_fix,in_unsignalized_crosswalks,in_tls_creation_candidates,in_geometry_reject,in_manual_review
NODE_5654,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5662,UNSIGNALIZED_CROSSWALK,True,False,unsignalized_crosswalks.csv|geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,True,False,False,False
NODE_5657,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5637,UNSIGNALIZED_CROSSWALK,True,False,unsignalized_crosswalks.csv|geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,True,False,False,False
NODE_5704,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5693,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_63383,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_281203,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_164302,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_112565,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_191788,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_198792,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_256461,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_12182,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_197211,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_200000,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
