file_path,size_mb,file_type,suggested_action,reason,safe_to_delete,keep_reason_if_any
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_26/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_27/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_27/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_28/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_28/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_29/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_29/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_30/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_30/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/vehicle_flow_hourly/NODE_7240_300/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000685,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/vehicle_flow_hourly/batch03_300_smoke_full/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000693,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/vehicle_flow_hourly/batch03_300_smoke_full/smart/phase6_vehicle_flow_smart.sumocfg,0.00069,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/vehicle_flow_smoke/NODE_7240/baseline/phase6_vehicle_flow_baseline.sumocfg,0.00068,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/vehicle_flow_smoke/NODE_7240/smart/phase6_vehicle_flow_smart.sumocfg,0.000677,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_vehicle_experiment_300_30seed_human/.DS_Store,0.005863,mac_metadata,DELETE,macOS metadata,True,
