crosswalk_id,is_restored_in_sumo_network,sumo_restored_level,phase6_ready_confirmed,sumo_restored_source,in_final_237,in_integrity_237
LINK_141039,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6651,False,NOT_IN_RESTORED_237,False,,False,False
LINK_14818,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5912,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5899,False,NOT_IN_RESTORED_237,False,,False,False
LINK_101007,False,NOT_IN_RESTORED_237,False,,False,False
LINK_104659,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10360,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6897,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7320,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10350,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_10357,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10359,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6485,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6486,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6496,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_15410,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6484,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6474,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6827,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6645,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6775,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6807,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_9705,False,NOT_IN_RESTORED_237,False,,False,False
NODE_122035,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6632,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9694,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6597,False,NOT_IN_RESTORED_237,False,,False,False
LINK_133605,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_110765,False,NOT_IN_RESTORED_237,False,,False,False
