횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
125994,127.01093866499369,37.55502106569524,신당동,2.0,104,50.0,2,26875.559786532827,신당동,0.1998197792295562
125905,127.0116873467359,37.554072396469444,신당동,2.0,104,30.0,3,26875.559786532827,신당동,0.1998197792295562
5949,126.97737426893069,37.56684763182768,태평로1가,3.0,104,50.0,0,26875.559786532827,소공동,0.09772727272727273
119590,126.97147922446499,37.566271963098465,정동,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
119583,126.96860813749238,37.56373322544083,의주로1가,4.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
5957,126.97907050159083,37.56699669913704,무교동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
119573,126.96878170092943,37.56351224072805,의주로1가,1.0,104,30.0,0,26875.559786532827,중림동,0.1901991313611407
5958,126.97922596321804,37.566243800342896,을지로1가,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
5959,126.97907627600961,37.56690973603918,태평로1가,3.0,104,30.0,2,26875.559786532827,소공동,0.09772727272727273
5960,126.97939856639648,37.56587308875078,을지로1가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
5962,126.97904195758073,37.56625978753027,을지로1가,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
5963,126.97847875614212,37.56520925094619,태평로2가,3.0,104,50.0,0,26875.559786532827,소공동,0.09772727272727273
5964,126.97816562999118,37.564364725753094,소공동,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
5965,126.97822308627065,37.56451120231602,태평로2가,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
119056,126.96870018092997,37.563623400403074,의주로1가,1.0,104,30.0,0,26875.559786532827,중림동,0.1901991313611407
119055,126.96886126772557,37.563403744042105,순화동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
5966,126.97751004673822,37.56468270842273,태평로2가,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
119054,126.96941308506295,37.562318183119146,의주로1가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
5967,126.97823174109061,37.56440822004067,소공동,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
119046,126.96958614938761,37.562408421998356,의주로1가,4.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
119045,126.97005205426916,37.561969143083836,순화동,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
119044,126.96967842719431,37.56171273219727,의주로2가,4.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
119039,126.96797974624397,37.56089070085933,중림동,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
119026,126.96784724919343,37.5614856830924,중림동,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
5968,126.97878658387566,37.564486131074474,소공동,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
5969,126.97870318360309,37.56457994580817,소공동,2.0,104,30.0,0,26875.559786532827,소공동,0.09772727272727273
